#,Company,Symbol,Weight,Price,Chg,% Chg
1,Unitedhealth Group Inc,UNH,8.096397,493.02,1.33,(0.27%)
2,Microsoft Corp,MSFT,7.070207,426.63,-2.74,(-0.64%)
3,Goldman Sachs Group Inc,GS,6.812342,407.27,-6.44,(-1.56%)
4,Home Depot Inc,HD,6.507548,391.10,-4.10,(-1.04%)
5,Caterpillar Inc,CAT,6.003015,360.72,-3.84,(-1.05%)
6,Salesforce Inc,CRM,5.078094,308.31,-0.08,(-0.03%)
7,Visa Inc Class A Shares,V,4.781368,284.54,-5.83,(-2.01%)
8,Mcdonald S Corp,MCD,4.668737,282.42,-1.11,(-0.39%)
9,Amgen Inc,AMGN,4.560388,277.51,0.56,(0.20%)
10,American Express Co,AXP,3.772797,226.96,-2.16,(-0.94%)
11,Travelers Cos Inc,TRV,3.723562,225.42,-0.71,(-0.31%)
12,Honeywell International Inc,HON,3.316017,200.24,-1.14,(-0.57%)
13,Jpmorgan Chase & Co,JPM,3.277815,197.25,-1.81,(-0.91%)
14,Intl Business Machines Corp,IBM,3.159915,192.54,0.64,(0.33%)
15,Boeing Co,BA,3.090756,190.11,2.41,(1.28%)
16,Amazon.com Inc,AMZN,2.933501,178.62,0.47,(0.26%)
17,Apple Inc,AAPL,2.821858,172.50,1.13,(0.66%)
18,Procter & Gamble Co,PG,2.665262,161.87,0.01,(0.00%)
19,Johnson & Johnson,JNJ,2.564652,155.70,-0.05,(-0.03%)
20,Chevron Corp,CVX,2.549997,154.70,-0.16,(-0.10%)
21,Merck & Co. Inc.,MRK,2.035585,124.00,0.38,(0.31%)
22,Walt Disney Co,DIS,1.921637,116.00,-0.70,(-0.60%)
23,3m Co,MMM,1.776238,107.40,-0.47,(-0.44%)
24,Nike Inc  Cl B,NKE,1.660149,92.97,-7.85,(-7.79%)
25,Walmart Inc,WMT,1.011864,61.19,-0.27,(-0.43%)
26,Coca Cola Co,KO,0.995727,60.57,0.09,(0.16%)
27,Dow Inc,DOW,0.953902,57.80,-0.13,(-0.23%)
28,Cisco Systems Inc,CSCO,0.821347,49.85,-0.04,(-0.07%)
29,Intel Corp,INTC,0.698508,42.29,-0.13,(-0.30%)
30,Verizon Communications Inc,VZ,0.667551,40.13,-0.41,(-1.01%)
